Cluster Labels,sex_of_casualty+Female,sex_of_casualty+Male,age_band_of_casualty+16 - 20,age_band_of_casualty+21 - 25,age_band_of_casualty+26 - 35,age_band_of_casualty+36 - 45,age_band_of_casualty+46 - 55,age_band_of_casualty+56 - 65,age_band_of_casualty+66 - 75,age_band_of_casualty+75+,casualty_home_area_type+Rural,casualty_home_area_type+Small town,casualty_home_area_type+Urban area,vehicle_type+Car,vehicle_type+Motorcycle,vehicle_type+Van,journey_purpose_of_driver+Normal,journey_purpose_of_driver+School,journey_purpose_of_driver+Work,engine_capacity_cc+low,engine_capacity_cc+medium,engine_capacity_cc+high,propulsion_code+Heavy oil,propulsion_code+Hybrid / Electric,propulsion_code+Petrol,age_of_vehicle+new,age_of_vehicle+middle-age,age_of_vehicle+old,generic_make_model+AUDI,generic_make_model+BMW,generic_make_model+CITROEN,generic_make_model+FIAT,generic_make_model+FORD,generic_make_model+HONDA,generic_make_model+HYUNDAI,generic_make_model+KIA,generic_make_model+MERCEDES,generic_make_model+MINI,generic_make_model+NISSAN,generic_make_model+Other,generic_make_model+PEUGEOT,generic_make_model+RENAULT,generic_make_model+SEAT,generic_make_model+SKODA,generic_make_model+SUZUKI,generic_make_model+TOYOTA,generic_make_model+VAUXHALL,generic_make_model+VOLKSWAGEN,generic_make_model+YAMAHA,casualty_severity_name+Fatal,casualty_severity_name+Serious,casualty_severity_name+Slight,count,risk_score
0,0.9106125356125356,0.0893874643874644,0.11569622507122507,0.13412571225071226,0.26509081196581197,0.15860933048433049,0.1083511396011396,0.10122863247863248,0.062321937321937325,0.05457621082621083,0.1032318376068376,0.11525106837606838,0.781517094017094,0.9391025641025641,0.03708155270655271,0.02381588319088319,0.7990117521367521,0.019586894586894586,0.1814013532763533,0.9960381054131054,0.003917378917378918,4.451566951566952e-05,0.29300213675213677,0.023148148148148147,0.6838497150997151,0.4900730056980057,0.3246527777777778,0.18527421652421652,0.044604700854700856,0.03125,0.03494480056980057,0.030849358974358976,0.18776709401709402,0.04291310541310541,0.02666488603988604,0.027644230769230768,0.03819444444444445,0.026842948717948716,0.04999109686609687,0.0703792735042735,0.05056980056980057,0.037437678062678066,0.02305911680911681,0.01820690883190883,0.019987535612535613,0.04981303418803419,0.10492343304843305,0.07532051282051282,0.008636039886039885,184.0,2861.0,19419.0,22464,32519
1,0.0,1.0,0.14223161709195228,0.14993205495998793,0.2825003774724445,0.16027479993960442,0.07994866374754643,0.09119734259399064,0.049146912275403895,0.04476823191906991,0.0827419598369319,0.10221953797372792,0.8150385021893402,0.7637777442246716,0.18020534500981428,0.05601691076551412,0.7684584025366148,0.006794504001207912,0.22474709346217725,0.9691227540389552,0.030122301072021743,0.0007549448890231014,0.29155971614072174,0.008832855201570285,0.699607428657708,0.0,0.6796768835874981,0.3203231164125019,0.04182394685187981,0.010418239468518798,0.027706477427147817,0.01902461120338215,0.16140721727313906,0.09406613317227842,0.014494941869243546,0.013287030046806583,0.03246263022799336,0.015249886758266646,0.030726256983240222,0.101993054507021,0.04590064925260456,0.04189944134078212,0.02264834667069304,0.013589008002415824,0.03329306960591877,0.04665559414162766,0.09927525290653783,0.08515778348180583,0.048920428808696965,253.0,2653.0,10340.0,13246,23229
2,0.1970260223048327,0.8029739776951673,0.08240396530359356,0.13023543990086742,0.2997521685254027,0.1982651796778191,0.10706319702602231,0.1,0.04944237918215613,0.03283767038413878,0.10954151177199505,0.10359355638166047,0.7868649318463445,0.8702602230483272,0.001734820322180917,0.12800495662949193,0.7374225526641883,0.00929368029739777,0.2532837670384139,0.9978934324659232,0.001982651796778191,0.00012391573729863693,0.9645600991325899,0.006195786864931847,0.029244114002478314,0.34783147459727387,0.09244114002478315,0.559727385377943,0.06951672862453531,0.242998760842627,0.03506815365551425,0.006691449814126394,0.05910780669144981,0.01734820322180917,0.00842627013630731,0.015861214374225528,0.08513011152416357,0.003593556381660471,0.0218091697645601,0.09033457249070632,0.05117719950433705,0.036059479553903345,0.02143742255266419,0.02973977695167286,0.0004956629491945477,0.025030978934324658,0.06493184634448575,0.11524163568773234,0.0,120.0,1151.0,6799.0,8070,12483
3,0.05869918699186992,0.9413008130081301,0.13252032520325202,0.14471544715447154,0.01902439024390244,0.144390243902439,0.36325203252032523,0.08682926829268292,0.05609756097560976,0.05317073170731707,0.03170731707317073,0.10666666666666667,0.8616260162601626,0.7889430894308943,0.183739837398374,0.027317073170731707,0.759349593495935,0.008617886178861788,0.23203252032520325,0.9679674796747968,0.031544715447154474,0.0004878048780487805,0.14650406504065042,0.05121951219512195,0.8022764227642276,0.7708943089430894,0.04227642276422764,0.18682926829268293,0.0351219512195122,0.03138211382113821,0.015772357723577237,0.010731707317073172,0.025853658536585365,0.07707317073170732,0.023577235772357725,0.02195121951219512,0.03398373983739837,0.010731707317073172,0.030569105691056912,0.10959349593495935,0.027642276422764227,0.016585365853658537,0.022926829268292682,0.01902439024390244,0.025040650406504064,0.05495934959349594,0.31105691056910567,0.05479674796747967,0.0416260162601626,101.0,1080.0,4969.0,6150,10198
4,0.23906485671191555,0.7609351432880844,0.10520361990950226,0.09992458521870287,0.043740573152337855,0.11877828054298642,0.3570889894419306,0.13122171945701358,0.08182503770739065,0.06221719457013575,0.9038461538461539,0.09615384615384616,0.0,0.8031674208144797,0.1583710407239819,0.038461538461538464,0.7967571644042232,0.012443438914027148,0.1907993966817496,0.9423076923076923,0.05580693815987934,0.001885369532428356,0.34841628959276016,0.029788838612368026,0.6217948717948718,0.5720211161387632,0.16402714932126697,0.26395173453996984,0.038838612368024134,0.0392156862745098,0.0196078431372549,0.016968325791855202,0.06184012066365008,0.05052790346907994,0.01583710407239819,0.017345399698340876,0.042986425339366516,0.024132730015082957,0.033559577677224735,0.37745098039215685,0.03770739064856712,0.030165912518853696,0.01583710407239819,0.020739064856711915,0.030165912518853696,0.03544494720965309,0.0,0.06900452488687783,0.02262443438914027,67.0,1050.0,2036.0,2652,4835
